Model Metrics Report - Oxford-IIIT Pet Breed Classification,,,
=================================================================,,,
,,,
DATASET OVERVIEW,,,
----------------,,,
Total Images,7349,,
Training Set (trainval),3680,,
Test Set,3669,,
Number of Breed Classes,37,,
Species,Cat (2371) and Dog (4978),,
Class Imbalance Ratio,1.09 (max/min = 200/184),,
Missing Images,0,,
Train/Test Overlap,0,,
,,,
BASELINE MODEL - Random Forest (Handcrafted Features),,,
------------------------------------------------------,,,
Model,Random Forest Classifier,,
Features,"width, height, aspect_ratio, brightness, contrast, r_mean, g_mean, b_mean, edge_strength, pet_area_ratio, unknown_ratio",,
Number of Features,11,,
Train Accuracy,1.0000 (overfit),,
Test Accuracy,0.0946,,
Notes,Severely overfit; handcrafted image features are insufficient for fine-grained breed classification,,
,,,
FINAL MODEL - ResNet-18 Transfer Learning (Deep CNN),,,
------------------------------------------------------,,,
Architecture,ResNet-18 (pretrained on ImageNet),,
Final Layer,Linear(512 â†?37),,
Input Size,224 x 224 x 3,,
Normalization,"Mean=(0.485, 0.456, 0.406)  Std=(0.229, 0.224, 0.225)",,
Loss Function,CrossEntropyLoss,,
Optimizer,Adam,,
Learning Rate,0.0001,,
Batch Size (Train),32,,
Batch Size (Val/Test),64,,
Epochs Trained,8,,
Train/Val Split,80% / 20% (stratified by breed),,
,,,
TRAINING HISTORY,,,
----------------,,,
Epoch,Train Loss,Train Accuracy,Val Accuracy
1,1.8164,0.9096,0.8601
2,0.5383,0.9664,0.8886
3,0.2556,0.9898,0.9049
4,0.1319,0.9966,0.9049
5,0.08,0.9976,0.9226
6,0.046,0.999,0.9171
7,0.0312,0.9997,0.9062
8,0.0229,1,0.9226
,,,
FINAL PERFORMANCE (Best Checkpoint),,,
-------------------------------------,,,
Best Val Accuracy,0.9226 (Epoch 5 & 8),,
Final Test Accuracy,0.8803,,
Improvement over Baseline,+78.57 percentage points,,
,,,
DATA AUGMENTATION (Training Only),,,
-----------------------------------,,,
RandomHorizontalFlip,p=0.5,,
ColorJitter,"brightness=0.2, contrast=0.2, saturation=0.2",,
Resize,224 x 224,,
